1,1,menu,菜单,menu,
2,2,starter,头盘,starter,
3,3,What would you like for your Main course?,主菜想来点什么？,ask3,主菜
4,15,I'd like a burger.,我想要汉堡,likeburger,点汉堡
5,10,mushroom soup,奶油蘑菇汤,mushroom,
6,11,Italian vegetable soup,意大利蔬菜汤,italian,
7,12,fruit salad,水果沙拉,fruit,
8,13,prawns,大虾,prawns,
9,15,burger,汉堡,burger,
10,16,pizza,披萨,pizza,
11,17,beef steak,牛排,beef,
12,18,chicken steak,鸡扒,chicken,
13,19,fish steak,鱼排,fish,
14,20,pork steak,猪扒,pork,
15,5,How it's done?,几分熟,ask5,牛排几分熟？
16,21,medium,七分熟,medium,
17,25,Latte.,latte,拿铁,latte,
18,24,lemon juice,柠檬汁,lemon,
19,7,dessert,甜品,ask7,
20,26,Pudding.,pudding,布丁,pudding,
21,27,cake,蛋糕,cake,
22,28,ice cream,冰激凌,ice,
23,29,Look! so much fruit!,看！好多水果。,somuchfruit,
24,30,What's this?,它们用英语怎么说呢？,howtosay,
25,31,an apple.,一个苹果。,apple,
26,32,apples.,很多苹果。,apples,
27,33,an orange.,一个橙子。,orange,
28,34,oranges.,很多橙子。,oranges,
29,35,a banana.,一个香蕉。,banana,
30,36,bananas.,很多香蕉。,bananas,
31,37,a peach.,一个桃子。,peach,
32,38,peaches.,很多桃子。,peaches,
33,39,Do you like peach?,你喜欢吃桃子吗？,likepeach,
34,42,May I have some peaches?,我可以吃桃子吗？,somepeaches,
35,43,May I have some peaches?,我可以吃桃子吗？,somepeaches,
36,44,Of course!,当然啦！,course,
37,44,How many peaches?,要几个？,howmany,
38,47,Can I help you?,需要帮助吗？,helpyou,
39,48,How much are the peaches?,桃子多少钱？,howmuch,
40,49,thirty yuan.,30元。,price,
